slug,Year,age,minutes_played,made_field_goals,attempted_field_goals,attempted_three_point_field_goals,attempted_free_throws,defensive_rebounds,turnovers,player_efficiency_rating,total_rebound_percentage,value_over_replacement_player
bonnema01,2005,24,1553,247,463,92,71,177,40,14.7,10.4,0.5
bonnema01,2006,25,1710,209,467,243,76,198,32,13.7,10.2,1.2
bonnema01,2007,26,653,106,237,94,38,92,25,16.4,14.4,0.4
bonnema01,2008,27,853,121,291,137,44,139,39,12.4,13.3,0.1
bonnema01,2009,28,1928,266,536,268,23,289,37,15.0,11.9,2.0
bookede01,2016,19,2108,367,867,289,256,160,160,11.9,4.8,-0.5
bookede01,2017,20,2730,606,1431,405,441,203,241,14.6,5.0,0.1
bookede01,2018,21,1865,455,1054,384,329,218,194,18.1,7.0,1.4
bookede01,2019,22,2242,586,1255,414,454,226,264,20.2,6.5,1.7
bookede01,2020,23,2512,627,1283,398,509,268,264,20.6,6.6,2.6
booketr01,2011,23,1063,139,253,1,101,153,38,15.3,13.5,0.3
booketr01,2012,24,1261,181,341,2,93,206,58,15.4,14.5,0.4
booketr01,2013,25,887,108,220,5,72,141,31,13.9,14.9,0.2
booketr01,2014,26,1553,222,403,2,76,230,58,15.0,14.1,0.7
booketr01,2015,27,1564,226,464,84,148,258,88,15.3,14.7,0.7
boozeca01,2003,21,2049,331,618,1,192,407,103,17.9,16.6,1.0
boozeca01,2004,22,2592,471,900,6,285,627,134,20.8,18.3,2.7
boozeca01,2005,23,1772,361,693,1,268,316,137,19.2,16.0,1.5
boozeca01,2006,24,1025,219,399,0,137,212,69,21.4,16.9,1.1
boozeca01,2007,25,2557,647,1154,0,372,632,194,24.1,20.6,4.3
boshch01,2004,19,2510,327,712,14,288,366,107,15.1,12.8,0.8
boshch01,2005,20,3017,473,1005,10,542,524,187,17.5,13.5,1.4
boshch01,2006,21,2751,549,1087,13,581,443,157,23.2,14.4,3.4
boshch01,2007,22,2658,543,1094,35,590,555,179,22.6,16.4,3.1
